house_name,sale_status,house_type,house_address,house_price
合力达卓越南城,在售,住宅,双流/文星镇/空港一路一段189号 （空港一路一段与文星正街交汇处）,11500
成都文旅城,在售,别墅,都江堰/都江堰/成都市都江堰市青外江大桥与青城山大道交汇处(玉堂LG博爱中学旁),16000
远大中央公园,在售,住宅,天府新区/南湖/南湖大道333号,13500
星汇广场,在售,住宅,锦江/盐市口/东御街88号,26000
城北优品道,在售,商业,新都/大丰/北星大道与大天路交汇处(十字路口出城方向右侧）,20000
金河谷五期,在售,别墅,温江/光华大道沿线/涌泉街道江浦路2666号,680
银泰中心,在售,住宅,高新/金融城/天府大道北段1199号（高新国际广场旁）,85000
龙湖时代天街,在售,商业,高新西/高新西/合作路89号,28000
中环壹号大厦,未开盘,商业类,成华/万年场/迎晖路99号,17500
长冶南阳御龙府,未开盘,住宅,高新/远大/梓州大道4333号,价格待定
保利天汇,在售,别墅,金牛/大丰/万石路旁,21000
交大归谷建设派,在售,商业,成华/理工大/二仙桥北路3号,15000
海亮樾金沙,在售,商业,青羊/外金沙/西三环蜀鑫路与清波路交汇处（华润金悦湾对面）,17000
凯德卓锦万黛,未开盘,住宅,龙泉驿/大面/成龙大道二段（川师成龙校区旁）,8700
鑫海天城,未开盘,住宅,邛崃/邛崃/318国道与拱辰路交汇处,11000
银咖SPACE,在售,商业类,金牛/沙湾/金牛营门口路1-9号,14000
力扬时代,未开盘,住宅,大邑/大邑/桃源新城人和街99号,5500
华熙528艺术村锦都,在售,底商,锦江/三圣乡/成龙大道与银木街交界处,50000
西财学府尚郡,在售,住宅,温江/温江大学城/天府街道海科路东段688号,8800
花样年智荟城,在售,商业类,崇州/崇州/永和大道66号,7000
碧桂园中环荟,在售,商业类,成华/八里小区/成华区八里庄路168号,13500
恒大天府半岛,在售,住宅,天府新区/锦江生态带/天府大道南段2618号,12348
泰华锦城,在售,住宅,龙泉驿/大面/大面镇西干道青台山路（龙城一号8号门对面）,9200
华新锦绣尚郡,未开盘,别墅,双流/牧马山/牧马山大件路1089号,价格待定
永立星城都,未开盘,住宅,成华/李家沱/二环路与府青路交汇处（原512建材市场旁）,价格待定
COSMO天廊,未开盘,住宅,锦江/沙河堡/上沙河铺街66号,价格待定
大邑惠山公馆一期,在售,住宅,大邑/大邑/晋原镇大邑县西街95号（原九龙超市旁）,15000
春熙江岸,未开盘,住宅,大邑/大邑/晋原镇桃源大道99号,6500
鹭湖宫13区,未开盘,住宅,温江/国色天乡/四川省成都市温江区白鹭路469号附8号,8000
百悦城plus,在售,住宅,龙泉驿/大面/大面街道金桉路1号,12000
时代锦绣,在售,商业,武侯/簇桥/武侯大道文昌段与新机场路的交汇处（中天物流园旁）,19000
大合仓,在售,写字楼,武侯/武侯立交/星狮路511号,8300
恒大上林苑,未开盘,别墅,新都/保利公园/泰兴镇白鹤岛风景区（新石路与成金青交汇处）,价格待定
瑞居海布斯卡,在售,住宅,青白江/青白江/栖凤街53号,7450
公园1号,在售,商业,郫都/红光/红光镇幸福路北一段81号（思源学校对面）,15000
九龙仓时代上城,未开盘,住宅,双流/华府/剑南大道与牧华路交汇处,12000
青城神韵二期,在售,住宅,崇州/崇州/街子古镇金鱼街1号（青城神韵一期旁）,10000
汇都商贸城,在售,商业类,双流/蛟龙港/双楠大道中段888号（双楠大道与星空路交汇处）,8500
剑桥小镇三期,在售,住宅,蒲江/蒲江/寿安镇迎宾大道88号（寿安中心小学附近）,5600
嘉合凤凰岛,在售,住宅,青白江/青白江/凤凰大道二段765号,9300
